# Step Timing Log
# Format: timestamp [Step N] MODE | total=Xms
# MODE: NORMAL = regular step, POST-CKPT = within 34 steps after checkpoint save
# Generated by train_phase8.py

2025-12-13T19:26:23.602176 [Step   3623] NORMAL       | total=5293.1ms | mode=NORMAL
2025-12-13T19:26:29.100977 [Step   3624] NORMAL       | total=5493.3ms | mode=NORMAL
2025-12-13T19:26:34.390629 [Step   3625] NORMAL       | total=5284.8ms | mode=NORMAL
2025-12-13T19:26:39.687296 [Step   3626] NORMAL       | total=5290.2ms | mode=NORMAL
2025-12-13T19:26:45.179108 [Step   3627] NORMAL       | total=5487.0ms | mode=NORMAL
2025-12-13T19:26:50.580598 [Step   3628] NORMAL       | total=5396.9ms | mode=NORMAL
2025-12-13T19:26:56.134726 [Step   3629] NORMAL       | total=5548.1ms | mode=NORMAL
2025-12-13T19:27:01.540862 [Step   3630] NORMAL       | total=5399.4ms | mode=NORMAL
2025-12-13T19:27:07.735240 [Step   3631] NORMAL       | total=6160.2ms | mode=NORMAL
2025-12-13T19:27:13.922437 [Step   3632] NORMAL       | total=6184.1ms | mode=NORMAL
2025-12-13T19:27:18.712439 [Step   3633] NORMAL       | total=4785.0ms | mode=NORMAL
2025-12-13T19:27:23.777670 [Step   3634] NORMAL       | total=5059.9ms | mode=NORMAL
2025-12-13T19:27:28.906497 [Step   3635] NORMAL       | total=5123.8ms | mode=NORMAL
2025-12-13T19:27:34.123761 [Step   3636] NORMAL       | total=5212.5ms | mode=NORMAL
2025-12-13T19:27:39.345293 [Step   3637] NORMAL       | total=5216.4ms | mode=NORMAL
2025-12-13T19:27:44.854622 [Step   3638] NORMAL       | total=5503.2ms | mode=NORMAL
2025-12-13T19:27:50.221526 [Step   3639] NORMAL       | total=5362.2ms | mode=NORMAL
2025-12-13T19:27:55.596497 [Step   3640] NORMAL       | total=5370.6ms | mode=NORMAL
2025-12-13T19:28:00.836859 [Step   3641] NORMAL       | total=5236.4ms | mode=NORMAL
2025-12-13T19:28:06.057246 [Step   3642] NORMAL       | total=5214.4ms | mode=NORMAL
2025-12-13T19:28:11.435828 [Step   3643] NORMAL       | total=5373.5ms | mode=NORMAL
2025-12-13T19:28:16.644728 [Step   3644] NORMAL       | total=5200.0ms | mode=NORMAL
2025-12-13T19:28:21.687295 [Step   3645] NORMAL       | total=5038.1ms | mode=NORMAL
2025-12-13T19:28:27.180516 [Step   3646] NORMAL       | total=5487.3ms | mode=NORMAL
2025-12-13T19:28:32.252087 [Step   3647] NORMAL       | total=5066.0ms | mode=NORMAL
2025-12-13T19:28:38.235205 [Step   3648] NORMAL       | total=5979.0ms | mode=NORMAL
2025-12-13T19:28:43.743426 [Step   3649] NORMAL       | total=5497.2ms | mode=NORMAL
2025-12-13T19:28:48.928341 [Step   3650] NORMAL       | total=5175.1ms | mode=NORMAL
2025-12-13T19:28:54.242528 [Step   3651] NORMAL       | total=5304.8ms | mode=NORMAL
2025-12-13T19:28:59.623778 [Step   3652] NORMAL       | total=5375.7ms | mode=NORMAL
2025-12-13T19:29:04.880634 [Step   3653] NORMAL       | total=5251.9ms | mode=NORMAL
2025-12-13T19:29:10.226604 [Step   3654] NORMAL       | total=5339.5ms | mode=NORMAL
2025-12-13T19:29:15.601039 [Step   3655] NORMAL       | total=5369.6ms | mode=NORMAL
2025-12-13T19:29:20.960580 [Step   3656] NORMAL       | total=5355.0ms | mode=NORMAL
2025-12-13T19:29:26.128682 [Step   3657] NORMAL       | total=5156.7ms | mode=NORMAL
2025-12-13T19:29:31.520680 [Step   3658] NORMAL       | total=5385.8ms | mode=NORMAL
2025-12-13T19:29:36.625986 [Step   3659] NORMAL       | total=5101.2ms | mode=NORMAL
2025-12-13T19:29:42.221801 [Step   3660] NORMAL       | total=5590.7ms | mode=NORMAL
2025-12-13T19:29:47.403258 [Step   3661] NORMAL       | total=5177.1ms | mode=NORMAL
2025-12-13T19:29:52.538549 [Step   3662] NORMAL       | total=5125.2ms | mode=NORMAL
2025-12-13T19:29:57.904808 [Step   3663] NORMAL       | total=5359.9ms | mode=NORMAL
2025-12-13T19:30:03.662007 [Step   3664] NORMAL       | total=5753.7ms | mode=NORMAL
2025-12-13T19:30:08.472392 [Step   3665] NORMAL       | total=4805.0ms | mode=NORMAL
2025-12-13T19:30:13.798800 [Step   3666] NORMAL       | total=5320.5ms | mode=NORMAL
2025-12-13T19:30:19.046677 [Step   3667] NORMAL       | total=5243.2ms | mode=NORMAL
2025-12-13T19:30:24.375251 [Step   3668] NORMAL       | total=5321.8ms | mode=NORMAL
2025-12-13T19:30:29.886017 [Step   3669] NORMAL       | total=5506.4ms | mode=NORMAL
2025-12-13T19:30:35.191417 [Step   3670] NORMAL       | total=5297.9ms | mode=NORMAL
2025-12-13T19:30:40.595501 [Step   3671] NORMAL       | total=5398.3ms | mode=NORMAL
2025-12-13T19:30:45.897158 [Step   3672] NORMAL       | total=5297.0ms | mode=NORMAL
2025-12-13T19:30:51.183665 [Step   3673] NORMAL       | total=5280.7ms | mode=NORMAL
2025-12-13T19:30:56.541813 [Step   3674] NORMAL       | total=5353.0ms | mode=NORMAL
2025-12-13T19:31:02.286579 [Step   3675] NORMAL       | total=5740.1ms | mode=NORMAL
2025-12-13T19:31:07.700332 [Step   3676] NORMAL       | total=5408.5ms | mode=NORMAL
2025-12-13T19:31:13.227022 [Step   3677] NORMAL       | total=5521.7ms | mode=NORMAL
2025-12-13T19:31:18.566864 [Step   3678] NORMAL       | total=5333.9ms | mode=NORMAL
2025-12-13T19:31:24.056701 [Step   3679] NORMAL       | total=5483.6ms | mode=NORMAL
2025-12-13T19:31:30.560979 [Step   3680] NORMAL       | total=6499.8ms | mode=NORMAL
2025-12-13T19:31:35.522384 [Step   3681] NORMAL       | total=4955.6ms | mode=NORMAL
2025-12-13T19:31:41.140979 [Step   3682] NORMAL       | total=5612.5ms | mode=NORMAL
2025-12-13T19:31:46.639318 [Step   3683] NORMAL       | total=5491.3ms | mode=NORMAL
2025-12-13T19:31:52.241189 [Step   3684] NORMAL       | total=5596.5ms | mode=NORMAL
2025-12-13T19:31:57.590533 [Step   3685] NORMAL       | total=5344.5ms | mode=NORMAL
2025-12-13T19:32:02.850092 [Step   3686] NORMAL       | total=5255.4ms | mode=NORMAL
2025-12-13T19:32:08.185084 [Step   3687] NORMAL       | total=5330.1ms | mode=NORMAL
2025-12-13T19:32:13.732400 [Step   3688] NORMAL       | total=5542.4ms | mode=NORMAL
2025-12-13T19:32:19.269913 [Step   3689] NORMAL       | total=5531.6ms | mode=NORMAL
2025-12-13T19:32:24.717154 [Step   3690] NORMAL       | total=5441.0ms | mode=NORMAL
2025-12-13T19:32:30.124231 [Step   3691] NORMAL       | total=5402.6ms | mode=NORMAL
2025-12-13T19:32:35.659877 [Step   3692] NORMAL       | total=5530.1ms | mode=NORMAL
2025-12-13T19:32:41.188406 [Step   3693] NORMAL       | total=5523.9ms | mode=NORMAL
2025-12-13T19:32:46.449611 [Step   3694] NORMAL       | total=5256.7ms | mode=NORMAL
2025-12-13T19:32:51.840751 [Step   3695] NORMAL       | total=5385.9ms | mode=NORMAL
2025-12-13T19:32:57.598061 [Step   3696] NORMAL       | total=5752.7ms | mode=NORMAL
